
MAME GP2X GAMELIST (1128 romsets)

Name      Description
losttmbh  "Lost Tomb (hard)"
losttomb  "Lost Tomb (easy)"
lottofun  "Lotto Fun"
lrescue   "Lunar Rescue"
lresort   "Last Resort"
lstduelb  "Last Duel (bootleg)"
lupin3    "Lupin III"
lwings    "Legendary Wings (US set 1)"
lwings2   "Legendary Wings (US set 2)"
lwingsjp  "Legendary Wings (Japan)"
m4        "M-4"
m79amb    "M79 Ambush"
mach3     "M.A.C.H. 3"
madgear   "Mad Gear"
magdrop2  "Magical Drop 2 / Toretate Zoukangou 2"
magdrop3  "Magical Drop 3 / Toretate Zoukangou III"
maglord   "Magician Lord"
mahretsu  "Mahjong Kyo Retsuden"
mainevt   "The Main Event (version Y)"
mainevt2  "The Main Event (version F)"
maketrax  "Make Trax"
maniach   "Mania Challenge (set 1)"
maniach2  "Mania Challenge (set 2)"
mappy     "Mappy (US)"
mappyjp   "Mappy (Japan)"
marble    "Marble Madness (set 1)"
marble2   "Marble Madness (set 2)"
marblea   "Marble Madness (set 3)"
mario     "Mario Bros."
masao     "Masao"
matmania  "Mat Mania"
maxrpm    "Max RPM"
maze      "Amazing Maze"
mazeh     "Maze Hunter (Japan)"
mbomber   "Muscle Bomber Duo (World)"
mbomberj  "Muscle Bomber Duo (Japan)"
medlanes  "Meadows Lanes"
megaforc  "Mega Force"
megaman   "Mega Man - The Power Battle (Asia)"
megatack  "MegaTack"
megazone  "Mega Zone"
mekyosen  "Mekyo Sensi"
mercs     "Mercs (World)"
mercsj    "Senjo no Ookami II (Japan)"
mercsu    "Senjo no Ookami II (US)"
mhavoc    "Major Havoc (rev 3)"
mhavoc2   "Major Havoc (rev 2)"
mhavocrv  "Major Havoc (Return to Vax)"
midres    "Midnight Resistance"
midresj   "Midnight Resistance (Japan)"
miexchng  "Money Puzzle Exchanger"
mikie     "Mikie"
mikiehs   "Mikie (High School Graffiti)"
mikiej    "Shinnyuushain Tooru-kun"
milliped  "Millipede"
minefld   "Minefield"
missile   "Missile Command (set 1)"
missile2  "Missile Command (set 2)"
mjleague  "Major League"
mk        "Mortal Kombat (rev 3.0 08/31/92)"
mk2       "MK 2"
monkeyd   "Monkey Donkey"
monsterb  "Monster Bash"
monwar2a  "Moon War II (set 2)"
monymony  "Money Money"
moonal2   "Moon Alien Part 2"
moonal2b  "Moon Alien Part 2 (older version)"
mooncrgx  "Moon Cresta (bootleg on Galaxian hardware)"
mooncrsb  "Moon Cresta (bootleg)"
mooncrsg  "Moon Cresta (Gremlin)"
mooncrst  "Moon Cresta (Nichibutsu)"
moonqsr   "Moon Quasar"
moonwar2  "Moon War II (set 1)"
motorace  "MotoRace USA"
motos     "Motos"
mpatrol   "Moon Patrol"
mpatrolw  "Moon Patrol (Williams)"
mplanets  "Mad Planets"
mranger   "Moon Ranger"
mrdo      "Mr. Do! (Universal)"
mrdofix   "Mr. Do! (bugfixed)"
mrdot     "Mr. Do! (Taito)"
mrdoy     "Mr. Do! (Yukidaruma)"
mrdu      "Mr. Du!"
mrlo      "Mr. Lo!"
mrtnt     "Mr. TNT"
mrviking  "Mister Viking"
mslug     "Metal Slug"
mslug2    "Metal Slug 2"
mspacatk  "Miss Pac Plus"
mspacman  "Ms. Pac Man"
msword    "Magic Sword (World)"
mswordj   "Magic Sword (Japan)"
mswordu   "Magic Sword (US)"
mtrap     "Mouse Trap"
mtwins    "Mega Twins / Chiki Chiki Boys (World)"
mutnat    "Mutation Nation"
myhero    "My Hero"
myheroj   "Seishun Scandal"
mystston  "Mysterious Stones"
nam_1975  "NAM 1975"
namcopac  "Pac Man (Namco)"
narc      "Narc (rev 7.00)"
naughtyb  "Naughty Boy"
nbajam    "NBA Jam"
ncombat   "Ninja Combat"
ncommand  "Ninja Commando"
nemesis   "Nemesis (hacked?)"
nemesuk   "Nemesis (UK)"
nemo      "Nemo (World)"
nemoj     "Nemo (Japan)"
neobombe  "Neo Bomberman"
neodrift  "Neo Drift Out - New Technology"
neogeo    "Neo Geo Bios"
neomrdo   "Neo Mr Do!"
nibbler   "Nibbler (set 1)"
nibblera  "Nibbler (set 2)"
ninjak2a  "Ninja Kid II (alternate)"
ninjakd2  "Ninja Kid II"
ninjamas  "Ninja Master's"
nitedrvr  "Night Driver"
nova2001  "Nova 2001"
nprinceb  "Ninja Princess (bootleg)"
nprinces  "Ninja Princess"
nrallyx   "New Rally X"
ogonsiro  "Ohgon no Siro"
omegrace  "Omega Race"
oscar     "Psycho-Nics Oscar"
oscarj    "Psycho-Nics Oscar (Japan)"
outzone   "Out Zone"
overtop   "Overtop"
ozmawars  "Ozma Wars"
p47       "P-47 (World)"
p47j      "P-47 (Japan)"
pacland   "Pac-Land (set 1)"
pacland2  "Pac-Land (set 2)"
pacland3  "Pac-Land (set 3)"
paclandm  "Pac-Land (Midway)"
pacman    "Pac Man (Midway)"
pacmanbl  "Pac Man (bootleg on Pisces hardware)"
pacmanjp  "Pac Man (Namco, alternate)"
pacmod    "Pac Man (harder)"
pacnpal   "Pac & Pal"
pacplus   "Pac Man Plus"
pang      "Pang (World)"
pang3     "Pang! 3 (Japan)"
pangb     "Pang (bootleg)"
panic     "Space Panic (set 1)"
panica    "Space Panic (set 2)"
panicbom  "Panic Bomber"
panicger  "Space Panic (German)"
paperboy  "Paperboy"
passshtb  "Passing Shot (bootleg)"
pbactio2  "Pinball Action (set 2)"
pbaction  "Pinball Action (set 1)"
pballoon  "Pioneer Balloon"
pbobble   "Puzzle Bobble / Bust-A-Move"
pcktgal   "Pocket Gal"
pcktgalb  "Pocket Gal (bootleg)"
pengo     "Pengo (set 1)"
pengo2    "Pengo (set 2)"
pengo2u   "Pengo (set 2 not encrypted)"
penta     "Penta"
pepper2   "Pepper II"
peterpak  "Peter Pack-Rat"
phantom2  "Phantom II"
phoenix   "Phoenix (Amstar)"
phoenix3  "Phoenix (T.P.N.)"
phoenixc  "Phoenix (IRECSA, G.G.I Corp)"
phoenixt  "Phoenix (Taito)"
pickin    "Pickin'"
pingpong  "Ping Pong"
piranha   "Piranha"
pisces    "Pisces"
pitfall2  "Pitfall II"
pitfallu  "Pitfall II (not encrypted)"
pkunwar   "Penguin-Kun Wars (US)"
pkunwarj  "Penguin-Kun Wars (Japan)"
pleiadce  "Pleiads (Centuri)"
pleiads   "Pleiads (Tehkan)"
pnickj    "Pnickies (Japan)"
polaris   "Polaris (set 1)"
polarisa  "Polaris (set 2)"
ponpoko   "Ponpoko"
pool      "Pool"
pootan    "Pootan"
pooyan    "Pooyan (Konami)"
pooyans   "Pooyan (Stern)"
